"Product ID*";"Attribute (Name:Type:Position)*";"Value (Value:Position)*";"Supplier reference";"Reference";"EAN13";"UPC";"Wholesale price";"Impact on price";"Ecotax";"Quantity";"Minimal quantity";"Impact on weight";"Default (0 = No, 1 = Yes)";"Combination available date";"Image position";"Image URL";"Delete existing images (0 = No, 1 = Yes)";"ID / Name of shop";"Advanced Stock Managment";"Depends on stock";"Warehouse"
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:4";"3.00m:0#8m:1#Vert:2";;"TA_893008-V";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:5";"3.00m:0#9m:1#Vert:2";;"TA_893009-V";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:5";"3.00m:0#10m:1#Vert:2";;"TA_893010-V";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:6";"3.00m:0#12m:1#Vert:2";;"TA_893012-V";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:6";"3.00m:0#15m:1#Vert:2";;"TA_893015-V";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:7";"3.00m:0#18m:1#Vert:2";;"TA_893018-V";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:7";"3.00m:0#20m:1#Vert:2";;"TA_893020-V";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:8";"3.00m:0#25m:1#Vert:2";;"TA_893025-V";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:8";"2.40m:0#xm:1#Blanc:2";;"NF_89240TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:9";"2.40m:0#3m:1#Blanc:2";;"NF_89240TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:9";"2.40m:0#4m:1#Blanc:2";;"NF_89240TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:10";"2.40m:0#5m:1#Blanc:2";;"NF_89240TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:10";"2.40m:0#6m:1#Blanc:2";;"NF_89240TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:11";"2.40m:0#8m:1#Blanc:2";;"NF_89240TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:11";"2.40m:0#9m:1#Blanc:2";;"NF_89240TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:12";"2.40m:0#10m:1#Blanc:2";;"NF_89240TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:12";"2.40m:0#12m:1#Blanc:2";;"NF_89240TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:13";"2.40m:0#15m:1#Blanc:2";;"NF_89240TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:13";"2.40m:0#18m:1#Blanc:2";;"NF_89240TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:14";"2.40m:0#20m:1#Blanc:2";;"NF_89240TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:14";"2.40m:0#25m:1#Blanc:2";;"NF_89240TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:2";"3.00m:0#xm:1#Blanc:2";;"NF_89300TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:2";"3.00m:0#3m:1#Blanc:2";;"NF_89300TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:3";"3.00m:0#4m:1#Blanc:2";;"NF_89300TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:3";"3.00m:0#5m:1#Blanc:2";;"NF_89300TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:4";"3.00m:0#6m:1#Blanc:2";;"NF_89300TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:4";"3.00m:0#8m:1#Blanc:2";;"NF_89300TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:5";"3.00m:0#9m:1#Blanc:2";;"NF_89300TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:5";"3.00m:0#10m:1#Blanc:2";;"NF_89300TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:6";"3.00m:0#12m:1#Blanc:2";;"NF_89300TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:6";"3.00m:0#15m:1#Blanc:2";;"NF_89300TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:7";"3.00m:0#18m:1#Blanc:2";;"NF_89300TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:7";"3.00m:0#20m:1#Blanc:2";;"NF_89300TH";;;;;;0;;0;0;;0;;0;0;0;0;
11;"Hauteur:select:0#Longueur:select:1#Couleur:select:8";"3.00m:0#25m:1#Blanc:2";;"NF_89300TH";;;;;;0;;0;0;;0;;0;0;0;0;
12;"Hauteur:select:0#Longueur:select:1#Couleur:select:7";"2.00m:0#1.25m:1#Vert:2";;"TA_891302-V";;;;;;0;;0;0;;0;;0;0;0;0;
12;"Hauteur:select:0#Longueur:select:1#Couleur:select:7";"3.00m:0#1.25m:1#Vert:2";;"TA_891303-V";;;;;;0;;0;0;;0;;0;0;0;0;
12;"Hauteur:select:0#Longueur:select:1#Couleur:select:8";"10.0m:0#1.25m:1#Vert:2";;"TA_891310-V";;;;;;0;;0;0;;0;;0;0;0;0;
13;"Taille:select:0#Couleur:select:1";"65cmx65cm:0#Vert:1";;"ERA_STOP_65";;;;;;0;;0;0;;0;;0;0;0;0;
13;"Taille:select:0#Couleur:select:1";"75cmx75cm:0#Vert:1";;"ERA_STOP_75";;;;;;0;;0;0;;0;;0;0;0;0;
13;"Taille:select:0#Couleur:select:1";"100cmx100cm:0#Vert:1";;"ERA_STOP_100";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Rond:0#90cm:1#Vert:2";;"ERA_COVER_ROND";;;;;;0;;0;0;;0;;0;0;0;0;
